index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,40_years_t1,40_years_t2,40_years_t3,culture,type_by_season,delta_t1,delta_t2,delta_t3
5570,2024 40.04.07.010.00,Калуга,Кукуруза,2024-05-04,2024-10-27,0.5934395912049072,9.8,7.94,10.47037037037037,20.4549295774648,14.237974683544303,13.67104034929238,19.57193378971254,12.171861361714924,Судецветные,Яровая,-3.2006699789220097,0.882995787752261,2.066113321829379
5571,2024 40.04.07.011.00,Калуга,Кукуруза,2024-05-04,2024-10-27,0.4951938780742941,9.8,6.28,10.47037037037037,20.4549295774648,14.237974683544303,13.67104034929238,19.57193378971254,12.171861361714924,Судецветные,Яровая,-3.2006699789220097,0.882995787752261,2.066113321829379
5572,2024 40.17.11.010.00,Калуга,Пшеница,2024-05-04,2024-08-26,0.22087683330551874,5.3,1.31,8.655555555555557,18.960869565217397,19.841176470588227,13.102269647696476,18.010924893605605,19.56486551956093,Злаковые,Яровая,-4.446714092140919,0.9499446716117923,0.2763109510272983
5573,2024 40.22.01.015.00,Калуга,Люцерна,2024-05-04,2024-09-01,0.8480118911208606,2.0,2.67,9.13684210526316,19.19375,19.72592592592592,13.158290543431749,18.209646095531934,19.123784973647727,Бобовые,Яровая,-4.021448438168589,0.9841039044680677,0.6021409522781944
5574,2024 40.22.01.016.00,Калуга,Люцерна,2024-05-04,2024-09-02,0.712949807856125,2.0,2.08,9.13684210526316,19.26326530612245,19.62592592592592,13.158290543431749,18.23878597113332,19.0832531308293,Бобовые,Яровая,-4.021448438168589,1.0244793349891275,0.542672795096621
5575,2024 40.22.01.028.00,Калуга,Люцерна,2024-05-04,2024-08-31,0.8153648132841945,2.0,2.52,9.13684210526316,19.19375,19.8754716981132,13.158290543431749,18.209646095531934,19.22036812317352,Бобовые,Яровая,-4.021448438168589,0.9841039044680677,0.6551035749396767
5576,2024 40.22.01.029.00,Калуга,Люцерна,2024-05-04,2024-09-01,0.7537718023763802,2.0,2.25,9.13684210526316,19.19375,19.72592592592592,13.158290543431749,18.209646095531934,19.123784973647727,Бобовые,Яровая,-4.021448438168589,0.9841039044680677,0.6021409522781944
5577,2024 40.22.01.030.00,Калуга,Люцерна,2024-05-04,2024-09-02,0.739553553374101,2.0,2.19,9.13684210526316,19.26326530612245,19.62592592592592,13.158290543431749,18.23878597113332,19.0832531308293,Бобовые,Яровая,-4.021448438168589,1.0244793349891275,0.542672795096621
5578,2024 40.22.01.042.00,Калуга,Пшеница,2024-05-04,2024-09-01,0.4599532933922342,5.0,2.9200000000000004,9.13684210526316,19.19375,19.72592592592592,13.158290543431749,18.209646095531934,19.123784973647727,Злаковые,Яровая,-4.021448438168589,0.9841039044680677,0.6021409522781944
5579,2024 40.22.01.051.00,Калуга,Пшеница,2024-05-04,2024-08-31,0.4873522675803485,5.0,3.14,9.13684210526316,19.19375,19.8754716981132,13.158290543431749,18.209646095531934,19.22036812317352,Злаковые,Яровая,-4.021448438168589,0.9841039044680677,0.6551035749396767
5580,2024 40.22.15.025.00,Калуга,Люцерна,2024-05-04,2024-08-29,0.6678293725756554,2.0,1.9,8.655555555555557,19.02765957446809,19.918867924528293,13.102269647696476,18.05371268777383,19.36283113676924,Бобовые,Яровая,-4.446714092140919,0.9739468866942573,0.5560367877590515
5581,2024 40.22.15.027.00,Калуга,Люцерна,2024-05-04,2024-08-29,0.7466879474879752,2.0,2.22,8.655555555555557,19.02765957446809,19.918867924528293,13.102269647696476,18.05371268777383,19.36283113676924,Бобовые,Яровая,-4.446714092140919,0.9739468866942573,0.5560367877590515
5582,2024 40.23.12.022.00,Калуга,Кукуруза,2024-05-04,2024-09-08,0.4961299338379556,8.5,5.46,9.425,19.51372549019608,19.221052631578942,13.164888211382111,18.46493717893156,18.540722353380552,Судецветные,Яровая,-3.7398882113821106,1.04878831126452,0.6803302781983902
5583,2024 46.22.01.005.00,Курск,Соя,2024-05-04,2024-09-09,1.9516081701699513,2.5,15.1,9.425,19.51372549019608,19.13448275862069,13.164888211382111,18.46493717893156,18.47021368370494,Бобовые,Яровая,-3.7398882113821106,1.04878831126452,0.6642690749157474
5584,2024 46.22.01.006.00,Курск,Соя,2024-05-04,2024-09-08,1.7040205549200482,2.5,11.24,9.425,19.51372549019608,19.221052631578942,13.164888211382111,18.46493717893156,18.540722353380552,Бобовые,Яровая,-3.7398882113821106,1.04878831126452,0.6803302781983902
5585,2024 46.22.01.015.00,Курск,Соя,2024-05-04,2024-09-08,1.903896969164905,2.5,14.28,9.425,19.51372549019608,19.221052631578942,13.164888211382111,18.46493717893156,18.540722353380552,Бобовые,Яровая,-3.7398882113821106,1.04878831126452,0.6803302781983902
5586,2024 46.22.01.016.00,Курск,Соя,2024-05-04,2024-09-10,1.5933085305042167,2.5,9.8,9.425,19.575000000000003,19.07931034482758,13.164888211382111,18.53479532886768,18.34418340616079,Бобовые,Яровая,-3.7398882113821106,1.0402046711323223,0.735126938666788
5587,2024 46.22.01.021.00,Курск,Соя,2024-05-04,2024-09-11,0.7400307664587957,2.5,2.74,9.425,19.66981132075472,19.029310344827586,13.164888211382111,18.57796630649012,18.237313287213297,Бобовые,Яровая,-3.7398882113821106,1.091845014264603,0.7919970576142887
5588,2024 46.22.01.022.00,Курск,Соя,2024-05-04,2024-09-12,1.8493992486744695,2.5,13.39,9.425,19.66981132075472,19.071186440677963,13.164888211382111,18.57796630649012,18.190918146752058,Бобовые,Яровая,-3.7398882113821106,1.091845014264603,0.880268293925905
5589,2024 46.22.01.023.00,Курск,Соя,2024-05-04,2024-09-11,1.1518370499054076,2.5,5.41,9.425,19.66981132075472,19.029310344827586,13.164888211382111,18.57796630649012,18.237313287213297,Бобовые,Яровая,-3.7398882113821106,1.091845014264603,0.7919970576142887
5590,2024 46.22.02.056.00,Курск,Соя,2024-05-04,2024-09-02,0.24059046491793043,2.5,0.68,9.13684210526316,19.26326530612245,19.62592592592592,13.158290543431749,18.23878597113332,19.0832531308293,Бобовые,Яровая,-4.021448438168589,1.0244793349891275,0.542672795096621
5591,2024 46.22.02.067.00,Курск,Соя,2024-05-04,2024-09-02,0.25309062768216184,2.5,0.72,9.13684210526316,19.26326530612245,19.62592592592592,13.158290543431749,18.23878597113332,19.0832531308293,Бобовые,Яровая,-4.021448438168589,1.0244793349891275,0.542672795096621
5592,2024 46.22.03.008.01,Курск,Кукуруза,2024-05-04,2024-09-27,1.2157549730241963,8.1,19.22,9.895652173913044,20.281034482758628,17.539393939393943,13.214678331565922,19.022070499926983,16.51478857980592,Судецветные,Яровая,-3.3190261576528783,1.258963982831645,1.0246053595880227
5593,2024 46.22.03.009.01,Курск,Кукуруза,2024-05-04,2024-09-28,1.2002622249294006,8.1,18.8,9.895652173913044,20.333898305084755,17.38484848484849,13.214678331565922,19.02198579943215,16.383783406117818,Судецветные,Яровая,-3.3190261576528783,1.3119125056526038,1.0010650787306723
5594,2024 46.28.05.063.00,Курск,Соя,2024-05-04,2024-09-07,1.0647107369924282,2.5,4.75,9.425,19.462,19.247368421052627,13.164888211382111,18.41872372738824,18.653174214741277,Бобовые,Яровая,-3.7398882113821106,1.0432762726117595,0.5941942063113501
