field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
62.17.13.017.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",39.43,Галифакс,Покупные,минимальная,5.9,5.61,106.7,43.37,6.38,Серые лесные,"(2024, '62.17.13.017.00')",0.75
62.17.13.018.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",7.59,Галифакс,Покупные,минимальная,5.9,5.39,137.5,8.35,6.49,Серые лесные,"(2024, '62.17.13.018.00')",0.25
62.17.13.019.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",320.8,Донская,Свои,классическая с плугом,1.9,5.72,200.2,5.61,6.6,Серые лесные,"(2024, '62.17.13.019.00')",1.0
62.17.13.020.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",38.2,Галифакс,Покупные,минимальная,5.9,5.83,157.3,42.02,6.71,Серые лесные,"(2024, '62.17.13.020.00')",0.75
62.17.13.021.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",104.89,Галифакс,Покупные,минимальная,5.9,5.5,96.8,5.61,6.6,Серые лесные,"(2024, '62.17.13.021.00')",1.0
62.17.13.022.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",29.39,Галифакс,Покупные,минимальная,5.9,5.61,137.5,32.33,7.15,Серые лесные,"(2024, '62.17.13.022.00')",0.5
62.17.13.023.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",91.4,Галифакс,Покупные,минимальная,5.9,5.72,165.0,5.61,7.15,Серые лесные,"(2024, '62.17.13.023.00')",1.0
62.17.13.024.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",276.04,Рэдкот,Свои,минимальная,1.9,5.83,111.1,5.61,7.04,Серые лесные,"(2024, '62.17.13.024.00')",1.0
62.17.13.025.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",139.2,Рэдкот,Свои,минимальная,1.9,5.39,116.6,5.61,6.38,Серые лесные,"(2024, '62.17.13.025.00')",0.75
62.17.13.026.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",89.8,Донская,Свои,классическая с плугом,1.9,5.5,148.5,98.78,6.27,Серые лесные,"(2024, '62.17.13.026.00')",0.5
62.17.13.027.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",104.68,Галифакс,Покупные,минимальная,5.9,5.72,95.7,5.61,6.16,Серые лесные,"(2024, '62.17.13.027.00')",1.0
62.17.13.028.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",211.02,Галифакс,Покупные,минимальная,5.9,5.61,91.3,5.61,6.49,Серые лесные,"(2024, '62.17.13.028.00')",1.0
62.17.13.029.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",69.26,Рэдкот,Свои,минимальная,1.9,5.28,78.1,76.19,6.82,Серые лесные,"(2024, '62.17.13.029.00')",0.5
62.17.13.030.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",149.63,Рэдкот,Свои,минимальная,1.9,5.28,95.7,5.61,6.49,Серые лесные,"(2024, '62.17.13.030.00')",0.75
