field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
46.11.01.001.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",123.77,ГЛ Мелани,Свои,нулевая с прямым посевом,2.09,105.6,188.1,6.05,5.72,Черноземы,"(2023, '46.11.01.001.00')",0.75
46.11.01.002.00,Курск,пашня,4.0,2023,Пар,"Залежь, лес",192.0,(нет сорта),Покупные,минимальная,2.0,61.6,143.0,6.6,5.28,Черноземы,"(2023, '46.11.01.002.00')",1.0
46.11.01.003.00,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",8.18,Грэйс,Свои,минимальная,5.18,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.11.01.003.00')",0.25
46.22.01.001.01,Курск,пашня,4.0,2023,Соя,"Залежь, лес",55.07,ОАК Пруденс,Свои,нулевая с прямым посевом,2.09,103.57,93.92,5.69,5.4,Черноземы,"(2023, '46.22.01.001.01')",0.5
46.22.01.001.02,Курск,пашня,4.0,2023,Соя,"Залежь, лес",194.75,ОАК Пруденс,Свои,нулевая с прямым посевом,2.09,103.57,93.92,5.69,5.4,Черноземы,"(2023, '46.22.01.001.02')",0.75
46.22.01.002.00,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",162.45,Эксплоер,Свои,минимальная,5.18,61.67,88.69,5.32,5.48,Черноземы,"(2023, '46.22.01.002.00')",1.0
46.22.01.003.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",217.98,Ликамеро,Свои,минимальная,5.0,130.01,99.0,5.84,5.58,Черноземы,"(2023, '46.22.01.003.00')",1.0
46.22.01.004.00,Курск,пашня,4.0,2023,Чечевица,"Залежь, лес",50.69,Кермит,Свои,минимальная,2.0,73.39,103.71,6.14,5.59,Черноземы,"(2023, '46.22.01.004.00')",0.5
46.22.01.005.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",127.06,Ликамеро,Свои,минимальная,5.0,116.77,111.44,5.66,5.72,Черноземы,"(2023, '46.22.01.005.00')",1.0
46.22.01.006.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",68.8,Ликамеро,Свои,минимальная,5.0,126.03,90.99,5.47,5.53,Черноземы,"(2023, '46.22.01.006.00')",0.75
46.22.01.008.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",104.67,Ликамеро,Свои,минимальная,5.0,90.86,99.55,5.61,5.47,Черноземы,"(2023, '46.22.01.008.00')",1.0
46.22.01.009.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",41.48,Ликамеро,Свои,минимальная,5.0,81.13,79.48,5.77,5.69,Черноземы,"(2023, '46.22.01.009.00')",0.5
46.22.01.010.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",6.34,Ликамеро,Свои,минимальная,5.0,58.3,89.1,5.5,5.72,Черноземы,"(2023, '46.22.01.010.00')",0.25
46.22.01.011.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",230.46,Ликамеро,Свои,минимальная,5.0,164.95,98.95,5.92,6.27,Черноземы,"(2023, '46.22.01.011.00')",1.0
46.22.01.012.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",39.8,Канюк,Свои,минимальная,5.0,43.73,97.08,5.23,5.5,Черноземы,"(2023, '46.22.01.012.00')",0.5
46.22.01.013.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",6.26,Канюк,Свои,минимальная,5.0,40.7,94.6,6.71,5.39,Черноземы,"(2023, '46.22.01.013.00')",0.25
46.22.01.014.01,Курск,пашня,4.0,2023,Яр.пшеница твёрдая,"Залежь, лес",15.7,Памяти Янченко,Покупные,нулевая с прямым посевом,3.84,119.63,77.6,5.5,5.98,Черноземы,"(2023, '46.22.01.014.01')",0.25
46.22.01.014.02,Курск,пашня,4.0,2023,Яр.пшеница твёрдая,"Залежь, лес",17.0,Памяти Янченко,Покупные,нулевая с прямым посевом,3.84,119.63,77.6,5.5,5.98,Черноземы,"(2023, '46.22.01.014.02')",0.25
46.22.01.014.03,Курск,пашня,4.0,2023,Яр.пшеница твёрдая,"Залежь, лес",114.7,Памяти Янченко,Покупные,нулевая с прямым посевом,3.84,119.63,77.6,5.5,5.98,Черноземы,"(2023, '46.22.01.014.03')",0.75
46.22.01.015.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",42.44,Ликамеро,Свои,минимальная,5.0,91.74,98.56,5.61,6.16,Черноземы,"(2023, '46.22.01.015.00')",0.5
46.22.01.016.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",53.72,Ликамеро,Свои,минимальная,5.0,75.72,103.03,5.48,5.74,Черноземы,"(2023, '46.22.01.016.00')",0.75
46.22.01.017.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",167.0,Канюк,Свои,минимальная,5.0,87.73,82.36,5.58,5.99,Черноземы,"(2023, '46.22.01.017.00')",1.0
46.22.01.018.01,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",58.0,Канюк,Свои,минимальная,5.0,65.48,76.59,6.01,6.04,Черноземы,"(2023, '46.22.01.018.01')",0.75
46.22.01.018.02,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",64.0,Канюк,Свои,минимальная,5.0,65.48,76.59,6.01,6.04,Черноземы,"(2023, '46.22.01.018.02')",0.75
46.22.01.018.03,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",417.32,Канюк,Свои,минимальная,5.0,65.48,76.59,6.01,6.04,Черноземы,"(2023, '46.22.01.018.03')",1.0
46.22.01.019.01,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",13.0,Канюк,Свои,минимальная,5.0,122.89,98.61,5.7,6.27,Черноземы,"(2023, '46.22.01.019.01')",0.25
46.22.01.019.02,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",92.22,Канюк,Свои,минимальная,5.0,122.89,98.61,5.7,6.27,Черноземы,"(2023, '46.22.01.019.02')",0.75
46.22.01.020.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",14.16,Канюк,Свои,минимальная,5.0,276.65,67.65,5.66,5.45,Черноземы,"(2023, '46.22.01.020.00')",0.25
46.22.01.021.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",11.63,Канюк,Свои,минимальная,5.0,85.25,78.65,6.27,6.27,Черноземы,"(2023, '46.22.01.021.00')",0.25
46.22.01.022.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",75.46,Канюк,Свои,минимальная,5.0,238.01,81.54,5.68,7.11,Черноземы,"(2023, '46.22.01.022.00')",0.75
46.22.01.023.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",18.74,Канюк,Свои,минимальная,5.0,26.4,164.45,7.7,7.65,Черноземы,"(2023, '46.22.01.023.00')",0.5
46.22.01.024.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",48.72,Канюк,Свои,минимальная,5.0,81.18,94.82,5.76,6.31,Черноземы,"(2023, '46.22.01.024.00')",0.75
46.22.01.025.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",143.93,Канюк,Свои,минимальная,5.0,80.61,83.44,5.94,6.47,Черноземы,"(2023, '46.22.01.025.00')",1.0
46.28.05.002.00,Курск,пашня,3.0,2023,Кукуруза зерно,"Залежь, лес",244.98,Микси,Покупные,минимальная,6.88,82.5,150.7,6.6,7.04,Черноземы,"(2023, '46.28.05.002.00')",1.0
46.28.05.003.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",146.21,Акцент 0852,Свои,нулевая с прямым посевом,2.09,67.1,113.3,7.04,6.05,Черноземы,"(2023, '46.28.05.003.00')",0.75
46.28.05.004.00,Курск,пашня,3.0,2023,Горох,"Залежь, лес",250.1,Мадрас,Свои,нулевая с прямым посевом,3.12,64.9,155.1,6.38,6.27,Черноземы,"(2023, '46.28.05.004.00')",1.0
46.28.05.005.00,Курск,пашня,3.0,2023,Горох,"Залежь, лес",162.71,Мадрас,Свои,нулевая с прямым посевом,3.12,135.3,167.2,6.6,6.93,Черноземы,"(2023, '46.28.05.005.00')",1.0
46.28.05.006.00,Курск,пашня,3.0,2023,Овёс,"Залежь, лес",202.23,Авеню,Свои,минимальная,4.0,101.2,111.1,6.49,6.05,Черноземы,"(2023, '46.28.05.006.00')",1.0
46.28.05.007.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",66.47,Акцент,Свои,нулевая с прямым посевом,2.09,94.6,141.9,6.71,6.38,Черноземы,"(2023, '46.28.05.007.00')",0.5
46.28.05.008.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",98.93,Аргента,Свои,нулевая с прямым посевом,2.09,122.1,202.4,6.38,6.6,Черноземы,"(2023, '46.28.05.008.00')",0.5
46.28.05.009.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",164.39,ГЛ Мелани,Свои,нулевая с прямым посевом,2.09,89.1,151.8,7.04,6.05,Черноземы,"(2023, '46.28.05.009.00')",0.75
46.28.05.010.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",152.72,Аргента,Свои,нулевая с прямым посевом,2.09,95.7,139.7,6.71,6.71,Черноземы,"(2023, '46.28.05.010.00')",0.75
46.28.05.011.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",120.25,Акцент,Свои,нулевая с прямым посевом,2.09,106.7,165.0,6.38,6.05,Черноземы,"(2023, '46.28.05.011.00')",0.75
46.28.05.012.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",10.68,Аргента,Свои,нулевая с прямым посевом,2.09,130.9,229.9,6.93,6.16,Черноземы,"(2023, '46.28.05.012.00')",0.25
46.28.05.013.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",13.8,Аргента,Свои,нулевая с прямым посевом,2.09,97.9,181.5,6.27,5.94,Черноземы,"(2023, '46.28.05.013.00')",0.25
46.28.05.014.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",13.81,Аргента,Свои,нулевая с прямым посевом,2.09,124.3,184.8,6.6,6.71,Черноземы,"(2023, '46.28.05.014.00')",0.25
46.28.05.015.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",116.6,Аргента,Свои,нулевая с прямым посевом,2.09,98.45,188.1,6.6,5.89,Черноземы,"(2023, '46.28.05.015.00')",0.75
46.28.05.016.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",77.63,Аргента,Свои,нулевая с прямым посевом,2.09,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.05.016.00')",0.5
46.28.05.017.01,Курск,пашня,4.0,2023,Чечевица,"Залежь, лес",107.17,Кермит,Свои,минимальная,2.0,63.8,172.7,6.71,5.72,Черноземы,"(2023, '46.28.05.017.01')",0.5
46.28.05.017.02,Курск,пашня,3.0,2023,"Не используется, чужая земля","Залежь, лес",18.01,(нет сорта),Покупные,минимальная,2.0,63.8,172.7,6.71,5.72,Черноземы,"(2023, '46.28.05.017.02')",1.0
46.28.05.018.00,Курск,пашня,3.0,2023,Гречиха,"Залежь, лес",163.11,Диана,Свои,нулевая с прямым посевом,1.5,73.7,185.9,6.27,5.83,Черноземы,"(2023, '46.28.05.018.00')",0.75
46.28.05.019.00,Курск,пашня,3.0,2023,Чечевица,"Залежь, лес",175.89,Кермит,Свои,минимальная,2.0,72.6,148.5,6.38,5.61,Черноземы,"(2023, '46.28.05.019.00')",0.75
46.28.05.021.01,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",87.84,Грэйс,Свои,минимальная,5.18,84.7,126.5,6.27,6.05,Черноземы,"(2023, '46.28.05.021.01')",0.75
46.28.05.021.02,Курск,пашня,4.0,2023,Оз.пшеница мягкая,"Залежь, лес",63.56,Стиль 18,Покупные,минимальная,6.02,84.7,126.5,6.27,6.05,Черноземы,"(2023, '46.28.05.021.02')",0.75
46.28.05.022.00,Курск,пашня,3.0,2023,Оз.пшеница мягкая,"Залежь, лес",36.58,Стиль 18,Покупные,минимальная,6.02,80.3,147.4,7.26,6.93,Черноземы,"(2023, '46.28.05.022.00')",0.75
46.28.05.023.01,Курск,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",73.0,Каскад 166,Покупные,гибридизация,6.88,135.3,173.8,7.15,7.37,Черноземы,"(2023, '46.28.05.023.01')",1.0
46.28.05.023.02,Курск,пашня,4.0,2023,Гречиха,"Залежь, лес",10.04,Диана,Свои,нулевая с прямым посевом,1.5,135.3,173.8,7.15,7.37,Черноземы,"(2023, '46.28.05.023.02')",0.25
46.28.05.023.03,Курск,пашня,4.0,2023,Гречиха,"Залежь, лес",28.0,Диана,Свои,нулевая с прямым посевом,1.5,135.3,173.8,7.15,7.37,Черноземы,"(2023, '46.28.05.023.03')",0.25
46.28.05.027.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",178.94,Акцент 0852,Свои,нулевая с прямым посевом,2.09,84.15,148.5,6.76,7.26,Черноземы,"(2023, '46.28.05.027.00')",0.75
46.28.05.028.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",56.47,Аргента,Свои,нулевая с прямым посевом,2.09,80.3,127.6,6.6,6.38,Черноземы,"(2023, '46.28.05.028.00')",0.5
46.28.05.029.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",68.57,Аргента,Свои,нулевая с прямым посевом,2.09,136.4,158.4,7.37,7.26,Черноземы,"(2023, '46.28.05.029.00')",0.5
46.28.05.030.00,Курск,пашня,4.0,2023,Оз.пшеница мягкая,"Залежь, лес",66.5,Гром,Покупные,минимальная,6.02,147.4,148.5,6.49,6.05,Черноземы,"(2023, '46.28.05.030.00')",0.75
46.28.05.031.01,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",25.0,Грэйс,Свои,минимальная,5.18,86.9,146.3,5.72,5.83,Черноземы,"(2023, '46.28.05.031.01')",0.5
46.28.05.031.02,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",76.14,Грэйс,Свои,минимальная,5.18,86.9,146.3,5.72,5.83,Черноземы,"(2023, '46.28.05.031.02')",0.75
46.28.05.032.01,Курск,пашня,4.0,2023,Сортоучасток,"Залежь, лес",56.59,Смесь сортов,Покупные,минимальная,6.2,119.9,141.9,6.16,5.83,Черноземы,"(2023, '46.28.05.032.01')",1.0
46.28.05.032.02,Курск,пашня,4.0,2023,Соя,"Залежь, лес",16.0,Аргента,Свои,нулевая с прямым посевом,2.09,119.9,141.9,6.16,5.83,Черноземы,"(2023, '46.28.05.032.02')",0.25
46.28.05.034.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",54.15,Каликсо,Свои,минимальная,5.0,168.3,146.3,7.15,6.71,Черноземы,"(2023, '46.28.05.034.00')",0.75
46.28.05.035.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",165.94,Акцент 0852,Свои,нулевая с прямым посевом,2.09,88.0,117.7,6.93,6.05,Черноземы,"(2023, '46.28.05.035.00')",0.75
46.28.05.036.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",161.37,Акцент 0852,Свои,нулевая с прямым посевом,2.09,151.8,155.1,7.15,6.93,Черноземы,"(2023, '46.28.05.036.00')",0.75
46.28.05.037.00,Курск,пашня,3.0,2023,Оз.пшеница мягкая,"Залежь, лес",177.91,Алексеич,Свои,минимальная,6.02,127.6,150.7,6.71,6.49,Черноземы,"(2023, '46.28.05.037.00')",1.0
46.28.05.038.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",110.48,Акцент 0852,Свои,нулевая с прямым посевом,2.09,157.3,158.4,6.38,5.83,Черноземы,"(2023, '46.28.05.038.00')",0.75
46.28.05.039.00,Курск,пашня,3.0,2023,Соя,"Залежь, лес",144.76,Акцент 0852,Свои,нулевая с прямым посевом,2.09,93.5,140.8,6.38,5.83,Черноземы,"(2023, '46.28.05.039.00')",0.75
46.28.05.041.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",57.4,Каликсо,Свои,минимальная,5.0,165.0,116.6,6.27,6.93,Черноземы,"(2023, '46.28.05.041.00')",0.75
46.28.05.042.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",79.6,Паустиан,Свои,минимальная,5.18,115.5,139.7,5.94,5.83,Черноземы,"(2023, '46.28.05.042.00')",0.75
46.28.05.043.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",72.67,Аргента,Свои,нулевая с прямым посевом,2.09,94.29,86.59,6.24,5.66,Черноземы,"(2023, '46.28.05.043.00')",0.5
46.28.05.044.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",72.55,Паустиан,Свои,минимальная,5.18,64.59,95.86,5.97,5.37,Черноземы,"(2023, '46.28.05.044.00')",0.75
46.28.05.046.00,Курск,пашня,3.0,2023,Чечевица,"Залежь, лес",20.58,Рэдкот,Свои,минимальная,2.0,52.8,114.4,6.11,5.5,Черноземы,"(2023, '46.28.05.046.00')",0.25
46.28.05.047.01,Курск,пашня,4.0,2023,Сах.свекла,"Залежь, лес",134.58,БТС 590,Покупные,минимальная,45.0,113.18,91.48,5.98,5.56,Черноземы,"(2023, '46.28.05.047.01')",1.0
46.28.05.047.02,Курск,пашня,4.0,2023,Чечевица,"Залежь, лес",26.0,Рэдкот,Свои,минимальная,2.0,113.18,91.48,5.98,5.56,Черноземы,"(2023, '46.28.05.047.02')",0.25
46.28.05.049.00,Курск,пашня,3.0,2023,Чечевица,"Залежь, лес",177.38,Кермит,Свои,минимальная,2.0,53.32,85.11,5.84,5.66,Черноземы,"(2023, '46.28.05.049.00')",0.75
46.28.05.051.00,Курск,пашня,3.0,2023,Чечевица,"Залежь, лес",187.7,Кермит,Свои,минимальная,2.0,100.74,101.66,5.51,5.93,Черноземы,"(2023, '46.28.05.051.00')",0.75
46.28.05.053.00,Курск,пашня,4.0,2023,Чечевица,"Залежь, лес",22.41,Кермит,Свои,минимальная,2.0,47.3,99.0,6.05,5.57,Черноземы,"(2023, '46.28.05.053.00')",0.25
46.28.05.054.00,Курск,пашня,3.0,2023,Чечевица,"Залежь, лес",205.41,Кермит,Свои,минимальная,2.0,58.41,103.84,5.92,5.6,Черноземы,"(2023, '46.28.05.054.00')",0.75
46.28.05.055.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",24.37,Ликамеро,Свои,минимальная,5.0,52.43,89.47,5.98,5.61,Черноземы,"(2023, '46.28.05.055.00')",0.5
46.28.05.056.00,Курск,пашня,4.0,2023,Соя,"Залежь, лес",100.94,ОАК Пруденс,Свои,нулевая с прямым посевом,2.09,60.17,93.17,6.04,5.57,Черноземы,"(2023, '46.28.05.056.00')",0.5
46.28.05.057.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",161.49,Паустиан,Свои,минимальная,5.18,64.49,83.74,6.22,5.25,Черноземы,"(2023, '46.28.05.057.00')",1.0
46.28.05.058.01,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",53.0,Паустиан,Свои,минимальная,5.18,94.6,179.3,6.27,5.72,Черноземы,"(2023, '46.28.05.058.01')",0.75
46.28.05.058.02,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",8.04,Паустиан,Свои,минимальная,5.18,94.6,179.3,6.27,5.72,Черноземы,"(2023, '46.28.05.058.02')",0.25
46.28.05.059.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",26.24,Паустиан,Свои,минимальная,5.18,46.93,74.43,5.39,5.13,Черноземы,"(2023, '46.28.05.059.00')",0.5
46.28.05.060.00,Курск,пашня,4.0,2023,Пар,"Залежь, лес",39.17,(нет сорта),Покупные,минимальная,2.0,84.7,156.2,6.27,5.72,Черноземы,"(2023, '46.28.05.060.00')",1.0
46.28.05.061.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",129.88,Каликсо,Свои,минимальная,5.0,86.9,146.3,6.27,5.61,Черноземы,"(2023, '46.28.05.061.00')",1.0
46.28.05.062.00,Курск,пашня,3.0,2023,Яр.ячмень,"Залежь, лес",209.25,Грэйс,Свои,минимальная,5.18,73.7,123.2,6.38,5.83,Черноземы,"(2023, '46.28.05.062.00')",1.0
46.28.05.063.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",31.08,Абба,Свои,минимальная,5.18,39.6,83.97,5.43,5.54,Черноземы,"(2023, '46.28.05.063.00')",0.5
46.28.05.064.00,Курск,пашня,4.0,2023,"Не используется, чужая земля","Залежь, лес",20.72,(нет сорта),Покупные,минимальная,2.0,124.3,173.8,6.16,6.71,Черноземы,"(2023, '46.28.05.064.00')",1.0
46.28.05.065.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",66.51,Абба,Свои,минимальная,5.18,46.99,71.66,5.75,5.23,Черноземы,"(2023, '46.28.05.065.00')",0.75
46.28.05.066.00,Курск,пашня,4.0,2023,Люцерна пр.лет корм,"Залежь, лес",5.43,Дакота,Покупные,минимальная,4.25,78.1,176.0,7.59,5.83,Черноземы,"(2023, '46.28.05.066.00')",0.25
46.28.05.067.00,Курск,пашня,3.0,2023,Пар,"Залежь, лес",5.69,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.05.067.00')",1.0
46.28.08.001.00,Курск,пашня,3.0,2023,"Не используется, чужая земля","Залежь, лес",53.12,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.08.001.00')",1.0
46.28.10.001.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",31.38,Каликсо,Свои,минимальная,5.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.10.001.00')",0.5
46.28.10.002.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",32.64,Каликсо,Свои,минимальная,5.0,112.2,214.5,6.27,5.94,Черноземы,"(2023, '46.28.10.002.00')",0.5
46.28.10.003.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",11.42,Каликсо,Свои,минимальная,5.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.10.003.00')",0.25
46.28.10.004.01,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",77.88,Каликсо,Свои,минимальная,5.0,126.5,115.5,5.28,5.94,Черноземы,"(2023, '46.28.10.004.01')",0.75
46.28.10.004.02,Курск,пашня,3.0,2023,Яр.пшеница мягкая,"Залежь, лес",100.0,Каликсо,Свои,минимальная,5.0,126.5,115.5,5.28,5.94,Черноземы,"(2023, '46.28.10.004.02')",1.0
46.28.10.005.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",82.08,Каликсо,Свои,минимальная,5.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.10.005.00')",0.75
46.28.10.006.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",19.91,Каликсо,Свои,минимальная,5.0,149.6,188.1,5.5,6.49,Черноземы,"(2023, '46.28.10.006.00')",0.5
46.28.10.007.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",33.8,Каликсо,Свои,минимальная,5.0,271.7,177.65,6.55,6.0,Черноземы,"(2023, '46.28.10.007.00')",0.5
46.28.10.008.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",19.71,Каликсо,Свои,минимальная,5.0,294.8,183.7,5.94,6.6,Черноземы,"(2023, '46.28.10.008.00')",0.5
46.28.10.009.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",113.92,Каликсо,Свои,минимальная,5.0,228.8,180.4,5.94,5.72,Черноземы,"(2023, '46.28.10.009.00')",1.0
46.28.10.010.00,Курск,пашня,4.0,2023,Горох,"Залежь, лес",226.0,Бельмондо,Свои,нулевая с прямым посевом,3.12,173.8,140.8,6.49,5.61,Черноземы,"(2023, '46.28.10.010.00')",1.0
46.28.10.011.00,Курск,пашня,4.0,2023,Горох,"Залежь, лес",64.53,Бельмондо,Свои,нулевая с прямым посевом,3.12,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.10.011.00')",0.5
46.28.10.012.00,Курск,пашня,3.0,2023,Горох,"Залежь, лес",126.69,Бельмондо,Свои,нулевая с прямым посевом,3.12,136.4,165.0,6.82,6.43,Черноземы,"(2023, '46.28.10.012.00')",0.75
46.28.10.013.00,Курск,пашня,3.0,2023,Горох,"Залежь, лес",113.78,Мадрас,Свои,нулевая с прямым посевом,3.12,139.7,157.3,6.6,6.38,Черноземы,"(2023, '46.28.10.013.00')",0.75
46.28.10.014.00,Курск,пашня,4.0,2023,Горох,"Залежь, лес",3.96,Бельмондо,Свои,нулевая с прямым посевом,3.12,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.10.014.00')",0.25
46.28.10.015.00,Курск,пашня,3.0,2023,Горох,"Залежь, лес",24.66,Бельмондо,Свои,нулевая с прямым посевом,3.12,250.8,206.8,7.92,7.26,Черноземы,"(2023, '46.28.10.015.00')",0.25
46.28.10.016.00,Курск,пашня,4.0,2023,Горох,"Залежь, лес",48.72,Мадрас,Свои,нулевая с прямым посевом,3.12,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.10.016.00')",0.5
46.28.10.017.00,Курск,пашня,3.0,2023,Горох,"Залежь, лес",138.75,Бельмондо,Свои,нулевая с прямым посевом,3.12,212.3,168.3,6.71,7.26,Черноземы,"(2023, '46.28.10.017.00')",0.75
46.28.10.018.00,Курск,пашня,3.0,2023,Горох,"Залежь, лес",93.06,Бельмондо,Свои,нулевая с прямым посевом,3.12,156.75,150.15,6.82,7.26,Черноземы,"(2023, '46.28.10.018.00')",0.75
46.28.10.019.00,Курск,пашня,4.0,2023,Горох,"Залежь, лес",86.42,Бельмондо,Свои,нулевая с прямым посевом,3.12,149.6,147.4,6.93,6.93,Черноземы,"(2023, '46.28.10.019.00')",0.75
46.28.11.001.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",89.56,Эксплоер,Свои,минимальная,5.18,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.11.001.00')",0.75
46.28.11.002.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",103.7,Каликсо,Свои,минимальная,5.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.11.002.00')",1.0
46.28.11.003.00,Курск,пашня,4.0,2023,Сах.свекла,"Залежь, лес",130.22,Марино,Покупные,минимальная,45.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.11.003.00')",1.0
46.28.11.004.01,Курск,пашня,4.0,2023,Сах.свекла,"Залежь, лес",23.6,Малкин,Покупные,минимальная,45.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.11.004.01')",1.0
46.28.11.004.02,Курск,пашня,4.0,2023,Сах.свекла,"Залежь, лес",15.42,БТС 590,Покупные,минимальная,45.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.11.004.02')",1.0
46.28.11.004.03,Курск,пашня,4.0,2023,Сах.свекла,"Залежь, лес",12.3,Королев,Покупные,минимальная,45.0,0.0,0.0,0.0,0.0,Черноземы,"(2023, '46.28.11.004.03')",1.0
46.28.11.006.00,Курск,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",130.68,Эксплоер,Свои,минимальная,5.18,108.9,130.9,7.26,6.82,Черноземы,"(2023, '46.28.11.006.00')",1.0
