index,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3,delta_t4,dif_1,dif_2,dif_3,dif_4
128,2023 62.17.14.015.00,Рязань,Пшеница,2023-05-01,2023-09-12,0.13864649329129303,3.9,0.58,14.842424242424244,18.275757575757577,20.63939393939394,17.275757575757574,13.588190851605486,18.952546948397583,19.962084275182228,17.09269827805027,Злаковые,Яровая,1.254233390818758,-0.6767893726400054,0.6773096642117125,0.18305929770730245,-8.119512195121953,-9.353658536585364,-6.588571428571427,-5.539024390243901
152,2023 40.22.15.001.00,Калуга,Пшеница,2023-04-26,2023-09-07,0.0,4.98,0.0,13.742424242424242,18.44545454545454,20.45151515151515,19.451515151515157,11.972154471544714,18.32628395720958,20.097325672576257,17.95411506110092,Злаковые,Яровая,1.770269770879528,0.11917058824496252,0.35418947893889197,1.497400090414235,-6.375609756097565,-9.446341463414637,-7.551724137931032,-4.104878048780487
156,2023 62.17.14.018.00,Рязань,Пшеница,2023-05-01,2023-09-14,0.10689779497671273,3.9,0.44,15.132352941176473,18.347058823529416,20.544117647058822,16.53235294117647,13.7783516658696,18.94186158783357,19.85262983648744,16.64902759256594,Злаковые,Яровая,1.3540012753068726,-0.5948027643041556,0.6914878105713811,-0.11667465138947009,-8.119512195121953,-9.353658536585364,-6.588571428571427,-5.539024390243901
174,2023 54.17.12.099.00,Новосибирск,Ячмень,2023-05-29,2023-09-02,2.0574150147796186,3.5,23.89,17.470833333333335,20.0875,21.179166666666664,17.787499999999998,17.712737127371273,20.566506944585743,20.378218510049688,18.37395398239708,Злаковые,Яровая,-0.24190379403793827,-0.4790069445857448,0.8009481566169754,-0.5864539823970816,-4.733333333333331,-9.29512195121952,-5.097560975609756,-5.666666666666666
175,2023 54.17.12.100.00,Новосибирск,Вика,2023-06-03,2023-08-29,0.0,3.2,0.0,16.772727272727277,20.304545454545448,21.845454545454544,18.509090909090908,17.879523897511703,20.808285564906267,20.16374491869919,17.983274038216482,Злаковые,Яровая,-1.106796624784426,-0.5037401103608197,1.681709626755353,0.5258168708744257,-6.456097560975609,-6.039024390243903,-2.41951219512195,-3.8609756097561
177,2023 62.17.14.014.00,Рязань,Пшеница,2023-05-01,2023-09-13,0.1758906664636642,3.9,0.75,15.132352941176473,18.347058823529416,20.544117647058822,16.53235294117647,13.7783516658696,18.94186158783357,19.85262983648744,16.64902759256594,Злаковые,Яровая,1.3540012753068726,-0.5948027643041556,0.6914878105713811,-0.11667465138947009,-8.119512195121953,-9.353658536585364,-6.588571428571427,-5.539024390243901
220,2023 54.17.12.101.00,Новосибирск,Вика,2023-06-03,2023-09-01,0.0,3.2,0.0,16.772727272727277,20.304545454545448,21.845454545454544,18.509090909090908,17.879523897511703,20.808285564906267,20.16374491869919,17.983274038216482,Злаковые,Яровая,-1.106796624784426,-0.5037401103608197,1.681709626755353,0.5258168708744257,-6.456097560975609,-6.039024390243903,-2.41951219512195,-3.8609756097561
222,2023 62.24.11.011.01,Рязань,Пшеница,2023-05-01,2023-09-03,0.24042918760123536,3.9,1.06,14.40967741935484,18.0,20.4741935483871,18.783870967741933,13.56547775155171,18.597110267674427,19.996833862890437,18.24047770188112,Злаковые,Яровая,0.8441996678031298,-0.5971102676744273,0.47735968549666197,0.5433932658608143,-8.119512195121953,-9.353658536585364,-6.588571428571427,-5.539024390243901
234,2023 40.22.01.081.00,Калуга,Пшеница,2023-04-27,2023-08-18,0.4652231446101951,4.98,2.95,14.1,19.192857142857143,20.096428571428564,20.382142857142856,11.93899535423926,17.505062712585037,19.94437666003656,19.543459821428566,Злаковые,Яровая,2.1610046457607393,1.6877944302721062,0.1520519113920038,0.8386830357142898,-8.119512195121953,-9.446341463414637,-9.45609756097561,-4.15625
242,2023 62.17.07.023.00,Рязань,Пшеница,2022-09-05,2023-08-29,0.49374697186505545,4.37,2.79,3.4011235955056183,-6.466292134831461,7.507865168539323,19.440449438202247,4.075797402814694,-8.07177030379148,6.523915345618867,19.43099937546177,Злаковые,Озимая,-0.6746738073090759,1.605478168960019,0.9839498229204553,0.009450062740476994,-14.9525,-12.678048780487806,-7.975,-5.665853658536584
257,2023 62.17.07.022.00,Рязань,Пшеница,2022-09-07,2023-08-20,0.48673923470765074,4.37,2.74,3.278160919540229,-6.410344827586206,6.960919540229885,19.63103448275861,3.868420914231711,-8.29429960814329,5.744306859494042,19.34896350233093,Злаковые,Озимая,-0.5902599946914822,1.883954780557083,1.2166126807358433,0.2820709804276831,-17.7625,-15.702439024390245,-9.25121951219512,-7.199999999999999
262,2023 40.22.15.029.00,Калуга,Пшеница,2023-04-27,2023-08-18,0.7421285676002153,4.98,5.48,14.1,19.192857142857143,20.096428571428564,20.382142857142856,11.93899535423926,17.505062712585037,19.94437666003656,19.543459821428566,Злаковые,Яровая,2.1610046457607393,1.6877944302721062,0.1520519113920038,0.8386830357142898,-8.119512195121953,-9.446341463414637,-9.45609756097561,-4.15625
269,2023 62.01.04.002.00,Рязань,Соя,2023-05-11,2023-09-21,0.6172382173746208,1.71,1.46,17.7,20.075757575757574,20.4,15.818181818181818,15.183612548246694,19.952561586557948,19.89218450492936,15.69695205864404,Бобовые,Яровая,2.516387451753305,0.12319598919962615,0.5078154950706377,0.12122975953777804,-3.746341463414632,-7.139024390243904,-3.752777777777776,-3.866666666666664
270,2023 62.17.07.020.00,Рязань,Пшеница,2023-04-29,2023-08-28,0.5388057884216294,4.37,3.12,14.02,18.29,20.626666666666665,20.136666666666663,12.92128726287263,18.33513999968595,20.14898958892718,18.8742652182393,Злаковые,Яровая,1.0987127371273697,-0.04513999968595073,0.47767707773948587,1.2624014484273616,-8.119512195121953,-9.29512195121952,-4.603124999999999,-3.67317073170732
271,2023 62.23.01.003.00,Рязань,Кукуруза,2023-05-17,2023-09-28,0.6803147404900608,5.49,5.35,18.481818181818184,19.1939393939394,21.40606060606061,14.866666666666664,16.459959349593493,20.29621325293849,19.404724852204424,13.961891079120845,Судецветные,Яровая,2.021858832224691,-1.1022738589990908,2.0013357538561856,0.904775587545819,-4.966666666666665,-9.45609756097561,-3.296875,-4.282926829268295
272,2023 62.23.06.064.00,Рязань,Пшеница,2023-04-23,2023-08-23,2.4145392076378824,3.9,39.720000000000006,12.336666666666668,18.436666666666664,19.126666666666672,20.463333333333328,11.071626016260163,17.42336602795091,19.708436573146887,19.32334606245077,Злаковые,Яровая,1.2650406504065046,1.013300638715755,-0.5817699064802149,1.139987270882557,-7.975,-6.300000000000001,-6.070731707317073,-2.5333333333333314
291,2023 62.17.07.009.00,Рязань,Пшеница,2023-04-25,2023-08-15,0.5573248361888667,4.37,3.26,12.796428571428574,18.3,19.07142857142857,20.14285714285714,11.11966221447929,17.248197197259206,19.66280588776857,19.47976606112547,Злаковые,Яровая,1.676766356949285,1.051802802740795,-0.5913773163400009,0.6630910817316682,-7.073170731707316,-7.934146341463411,-9.353658536585364,-4.15625
292,2023 62.17.07.017.00,Рязань,Пшеница,2023-04-28,2023-08-29,0.4853317749397709,4.37,2.73,14.396774193548389,18.564516129032253,20.28064516129032,19.55806451612903,12.641782498470146,18.282110293767392,20.22713051155336,18.461355862917134,Злаковые,Яровая,1.7549916950782425,0.2824058352648606,0.05351464973696096,1.0967086532118948,-8.119512195121953,-9.45609756097561,-5.799999999999999,-5.419512195121953
310,2023 62.17.07.004.00,Рязань,Пшеница,2023-04-25,2023-08-15,0.472574691939,4.37,2.64,12.796428571428574,18.3,19.07142857142857,20.14285714285714,11.11966221447929,17.248197197259206,19.66280588776857,19.47976606112547,Злаковые,Яровая,1.676766356949285,1.051802802740795,-0.5913773163400009,0.6630910817316682,-7.073170731707316,-7.934146341463411,-9.353658536585364,-4.15625
311,2023 62.17.07.005.00,Рязань,Пшеница,2023-04-25,2023-08-16,0.49792816262545647,4.37,2.82,12.796428571428574,18.3,19.07142857142857,20.14285714285714,11.11966221447929,17.248197197259206,19.66280588776857,19.47976606112547,Злаковые,Яровая,1.676766356949285,1.051802802740795,-0.5913773163400009,0.6630910817316682,-7.073170731707316,-7.934146341463411,-9.353658536585364,-4.15625
312,2023 62.17.07.008.00,Рязань,Пшеница,2023-04-27,2023-08-17,0.5573248361888667,4.37,3.26,14.1,19.192857142857143,20.096428571428564,20.382142857142856,11.93899535423926,17.505062712585037,19.94437666003656,19.543459821428566,Злаковые,Яровая,2.1610046457607393,1.6877944302721062,0.1520519113920038,0.8386830357142898,-8.119512195121953,-9.446341463414637,-9.45609756097561,-4.15625
313,2023 62.17.07.021.00,Рязань,Пшеница,2023-04-28,2023-08-30,0.48673923470765074,4.37,2.74,14.396774193548389,18.564516129032253,20.28064516129032,19.55806451612903,12.641782498470146,18.282110293767392,20.22713051155336,18.461355862917134,Злаковые,Яровая,1.7549916950782425,0.2824058352648606,0.05351464973696096,1.0967086532118948,-8.119512195121953,-9.45609756097561,-5.799999999999999,-5.419512195121953
315,2023 62.24.11.010.01,Рязань,Пшеница,2023-05-03,2023-09-29,0.30105380941767024,3.9,1.37,16.291891891891886,18.23783783783784,20.318918918918914,14.348648648648648,14.3357668644254,19.34491463784991,19.43213703032301,13.640755475671044,Злаковые,Яровая,1.956125027466486,-1.10707680001207,0.8867818885959053,0.7078931729776041,-8.119512195121953,-9.45609756097561,-3.2281249999999986,-7.96829268292683
316,2023 62.24.11.010.03,Рязань,Пшеница,2023-05-01,2023-09-02,0.12289813632315381,3.9,0.51,14.40967741935484,18.0,20.4741935483871,18.783870967741933,13.56547775155171,18.597110267674427,19.996833862890437,18.24047770188112,Злаковые,Яровая,0.8441996678031298,-0.5971102676744273,0.47735968549666197,0.5433932658608143,-8.119512195121953,-9.353658536585364,-6.588571428571427,-5.539024390243901
320,2023 36.05.07.023.00,Воронеж,Сорго,2023-06-05,2023-11-14,1.106267828449438,3.47,7.020000000000001,19.5,20.525,14.7775,6.227499999999999,19.616407520325204,19.400592634051836,13.08762519043556,4.883711684797597,Злаковые,Яровая,-0.11640752032520396,1.1244073659481622,1.68987480956444,1.343788315202402,-8.604878048780488,-3.2281249999999986,-5.419512195121953,-5.404878048780488
341,2023 62.22.04.006.00,Рязань,Пшеница,2023-04-20,2023-09-12,0.5481081810839429,4.37,3.19,12.366666666666667,17.952777777777776,20.427777777777777,18.080555555555563,11.179055630834087,17.896743360009598,19.90482901967564,17.90493406285073,Злаковые,Яровая,1.18761103583258,0.05603441776817775,0.5229487581021388,0.17562149270483118,-6.375609756097565,-8.939024390243905,-6.588571428571427,-5.773170731707317
342,2023 62.23.06.066.00,Рязань,Пшеница,2023-04-24,2023-09-04,2.2633643798407643,3.9,33.599999999999994,12.390909090909092,17.972727272727273,19.739393939393945,19.35757575757576,11.536006405518602,18.099852732135027,19.897460126379457,18.39129062259424,Злаковые,Яровая,0.8549026853904902,-0.127125459407754,-0.15806618698551134,0.9662851349815185,-7.073170731707316,-7.934146341463411,-5.222857142857146,-3.321951219512192
364,2023 62.23.06.065.00,Рязань,Пшеница,2023-04-25,2023-08-27,2.57359041672744,3.9,47.24000000000001,13.158064516129034,17.72903225806452,19.9258064516129,19.661290322580644,11.46690707229653,17.815553068180858,19.89622102697667,18.81503793317373,Злаковые,Яровая,1.6911574438325037,-0.08652081011633683,0.02958542463623104,0.8462523894069136,-7.073170731707316,-9.353658536585364,-4.874193548387096,-4.15625
365,2023 62.24.14.005.00,Рязань,Соя,2023-05-07,2023-09-21,0.0,1.7,0.0,16.764705882352942,18.85,21.244117647058825,15.426470588235295,14.855832536266536,19.599672184538665,20.023623770190724,15.72368766302092,Бобовые,Яровая,1.9088733460864056,-0.7496721845386638,1.220493876868101,-0.29721707478562465,-9.975,-7.551724137931032,-3.7804878048780495,-4.566666666666666
367,2023 36.05.07.050.00,Воронеж,Сорго,2023-06-04,2023-11-14,0.24424499009827635,3.47,0.96,19.048780487804883,20.717073170731705,14.61463414634146,5.790243902439025,19.362057968140657,19.396969122754346,12.795149905774682,4.887670912662173,Злаковые,Яровая,-0.3132774803357741,1.3201040479773596,1.8194842405667782,0.9025729897768517,-7.139024390243904,-4.603124999999999,-5.419512195121953,-6.453658536585365
368,2023 36.05.07.052.00,Воронеж,Сорго,2023-06-05,2023-11-12,0.7354666124388571,3.47,3.77,19.5,20.525,14.7775,6.227499999999999,19.616407520325204,19.400592634051836,13.08762519043556,4.883711684797597,Злаковые,Яровая,-0.11640752032520396,1.1244073659481622,1.68987480956444,1.343788315202402,-8.604878048780488,-3.2281249999999986,-5.419512195121953,-5.404878048780488
