,field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,yield_plan_full
4973,36.05.07.004.00,Воронеж,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,12.53,Губернатор Дона,РС-3,Свои,минимальная,5.5,108.9,84.7,6.38,6.6,68.91499999999999
4974,36.05.07.005.01,Воронеж,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,85.42,Гром,ЭС,Покупные,минимальная,5.5,105.6,83.6,6.82,6.16,469.81
4975,36.05.07.005.02,Воронеж,пашня,3.0,2023,Яр.ячмень,Кукуруза силос,0.0,48.8,Маргрет,РС-2,Свои,минимальная,5.0,105.6,83.6,6.82,6.16,244.0
4976,36.05.07.005.03,Воронеж,пашня,3.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,1.75,Дакота,РС-2,Свои,минимальная,5.4,105.6,83.6,6.82,6.16,9.450000000000001
4978,36.05.07.005.05,Воронеж,пашня,3.0,2023,Одн.тр.суданская тр.корм.,Кукуруза силос,0.0,2.0,Кинельская 100,РСт,Свои,минимальная,4.0,105.6,83.6,6.82,6.16,8.0
4979,36.05.07.006.00,Воронеж,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,134.57,Губернатор Дона,РС-3,Свои,минимальная,5.5,129.8,122.1,7.04,5.83,740.135
4980,36.05.07.007.00,Воронеж,пашня,4.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,7.06,Губернатор Дона,РС-3,Свои,минимальная,5.5,96.8,97.9,7.04,5.72,38.83
4981,36.05.07.008.01,Воронеж,пашня,4.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,160.63,Губернатор Дона,РС-3,Свои,минимальная,5.5,117.7,192.5,6.49,6.6,883.4649999999999
4982,36.05.07.008.02,Воронеж,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,2.0,Маргрет,РС-2,Свои,минимальная,5.0,117.7,192.5,6.49,6.6,10.0
4983,36.05.07.009.00,Воронеж,пашня,5.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,123.57,Губернатор Дона,РС-3,Свои,минимальная,5.5,127.6,114.4,6.6,6.16,679.635
4984,36.05.07.010.00,Воронеж,пашня,5.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,83.42,Губернатор Дона,РС-3,Свои,минимальная,5.5,161.7,106.7,6.49,6.05,458.81
4985,36.05.07.012.01,Воронеж,пашня,5.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,101.27,Губернатор Дона,РС-3,Свои,минимальная,5.5,152.08,129.8,6.44,6.38,556.985
4986,36.05.07.012.02,Воронеж,пашня,3.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,5.04,Дакота,РС-2,Свои,минимальная,5.4,152.08,129.8,6.44,6.38,27.216
4987,36.05.07.012.03,Воронеж,пашня,3.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,2.47,Дакота,РС-2,Свои,минимальная,5.4,152.08,129.8,6.44,6.38,13.338000000000003
4988,36.05.07.014.01,Воронеж,пашня,3.0,2023,Соя,Кукуруза силос,0.0,17.0,Пруденс,РСт,Свои,минимальная,2.0,99.0,94.6,6.82,6.05,34.0
4990,36.05.07.015.00,Воронеж,пашня,5.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,113.99,Губернатор Дона,РС-3,Свои,минимальная,5.5,140.8,108.9,6.05,6.27,626.9449999999999
4991,36.05.07.016.00,Воронеж,пашня,5.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,181.45,Губернатор Дона,РС-3,Свои,минимальная,5.5,170.5,163.9,6.27,6.49,997.9749999999999
4992,36.05.07.018.00,Воронеж,пашня,5.0,2023,Кукуруза силос,Кукуруза силос,0.0,42.13,КСС 5291,F1,Покупные,минимальная,7.5,207.9,129.8,6.93,6.82,315.975
4993,36.05.07.019.00,Воронеж,пашня,5.0,2023,Кукуруза силос,Кукуруза силос,0.0,70.19,КСС 5291,F1,Покупные,минимальная,7.5,137.5,136.4,6.16,6.71,526.425
4994,36.05.07.020.00,Воронеж,пашня,5.0,2023,Кукуруза зерно,Кукуруза силос,0.0,97.16,КСС 7270,F1,Покупные,минимальная,6.5,151.8,102.3,6.6,6.49,631.54
4995,36.05.07.021.01,Воронеж,пашня,5.0,2023,Кукуруза силос,Кукуруза силос,0.0,69.0,Максалия,F1,Покупные,минимальная,7.5,174.9,94.6,6.27,6.38,517.5
4996,36.05.07.021.02,Воронеж,пашня,5.0,2023,Кукуруза зерно,Кукуруза силос,0.0,45.94,Максалия,F1,Покупные,минимальная,6.5,174.9,94.6,6.27,6.38,298.61
4997,36.05.07.022.00,Воронеж,пашня,5.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,65.33,Виктория,ЭС,Покупные,минимальная,5.4,143.0,104.5,6.6,6.16,352.78200000000004
4998,36.05.07.023.00,Воронеж,пашня,5.0,2023,Сорго зерновое,Кукуруза силос,0.0,98.88,Калатур,F1,Покупные,минимальная,3.47,135.3,133.1,6.05,6.6,343.1136
4999,36.05.07.024.00,Воронеж,пашня,5.0,2023,Кукуруза зерно,Кукуруза силос,0.0,129.38,КСС 5291,F1,Покупные,минимальная,6.5,160.6,121.0,6.49,6.71,840.97
5000,36.05.07.026.01,Воронеж,пашня,4.0,2023,Подсолнечник кондит.,Кукуруза силос,0.0,87.0,Джинн М,ЭС,Покупные,классическая с плугом,1.9,141.9,97.9,6.82,6.6,165.29999999999998
5001,36.05.07.026.02,Воронеж,пашня,4.0,2023,Одн.тр.суданская тр.корм.,Кукуруза силос,0.0,10.0,Кинельская 100,РС-3,Свои,классическая с плугом,3.0,141.9,97.9,6.82,6.6,30.0
5003,36.05.07.027.00,Воронеж,пашня,5.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,94.11,Виктория,ЭС,Покупные,минимальная,5.4,146.3,123.2,6.27,6.71,508.194
5004,36.05.07.028.00,Воронеж,пашня,5.0,2023,Кукуруза силос,Кукуруза силос,0.0,36.55,КСС 5291,F1,Покупные,минимальная,7.5,144.1,105.6,6.38,6.71,274.125
5005,36.05.07.029.00,Воронеж,пашня,5.0,2023,Кукуруза зерно,Кукуруза силос,0.0,98.79,Рекордина,F1,Покупные,минимальная,6.5,148.5,103.4,6.27,6.71,642.135
5006,36.05.07.030.01,Воронеж,пашня,4.0,2023,Сах.свекла,Кукуруза силос,0.0,66.1,Мустанг,F1,Покупные,классическая с плугом,40.0,117.7,93.5,6.93,6.16,2644.0
5007,36.05.07.030.02,Воронеж,пашня,4.0,2023,Кукуруза силос,Кукуруза силос,0.0,10.0,Сириус,F1,Покупные,минимальная,7.5,117.7,93.5,6.93,6.16,75.0
5008,36.05.07.030.03,Воронеж,пашня,4.0,2023,Кукуруза зерно,Кукуруза силос,0.0,17.81,Сириус,F1,Покупные,минимальная,6.5,117.7,93.5,6.93,6.16,115.76499999999999
5009,36.05.07.031.00,Воронеж,пашня,5.0,2023,Сах.свекла,Кукуруза силос,0.0,14.69,Аландо,F1,Покупные,классическая с плугом,40.0,180.4,272.8,6.38,6.93,587.6
5010,36.05.07.032.00,Воронеж,пашня,5.0,2023,Соя,Кукуруза силос,0.0,15.0,Пруденс,РСт,Свои,минимальная,2.0,152.9,183.7,6.71,6.6,30.0
5011,36.05.07.033.00,Воронеж,пашня,5.0,2023,Подсолнечник кондит.,Кукуруза силос,0.0,135.51,Джинн М,ЭС,Покупные,классическая с плугом,1.9,139.7,97.9,6.71,6.49,257.469
5012,36.05.07.034.01,Воронеж,пашня,5.0,2023,Кукуруза зерно,Кукуруза силос,0.0,51.0,Сириус,F1,Покупные,минимальная,6.5,121.0,100.1,6.71,6.6,331.5
5014,36.05.07.035.01,Воронеж,пашня,5.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,148.5,Виктория,ЭС,Покупные,минимальная,5.4,154.0,133.1,6.49,6.6,801.9000000000001
5015,36.05.07.035.02,Воронеж,пашня,5.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,34.9,Дакота,РС-2,Свои,минимальная,5.4,154.0,133.1,6.49,6.6,188.46
5016,36.05.07.036.00,Воронеж,пашня,5.0,2023,Подсолнечник кондит.,Кукуруза силос,0.0,25.73,Джинн М,ЭС,Покупные,классическая с плугом,1.9,133.1,93.5,6.71,6.38,48.887
5017,36.05.07.037.00,Воронеж,пашня,4.0,2023,Соя,Кукуруза силос,0.0,32.98,Пруденс,РСт,Свои,минимальная,2.0,92.4,94.6,6.93,6.27,65.96
5018,36.05.07.038.00,Воронеж,пашня,4.0,2023,Соя,Кукуруза силос,0.0,33.98,Пруденс,РСт,Свои,минимальная,2.0,99.0,86.9,6.6,6.49,67.96
5019,36.05.07.039.00,Воронеж,пашня,4.0,2023,Кукуруза зерно,Кукуруза силос,0.0,37.98,Максалия,F1,Покупные,минимальная,6.5,93.5,78.1,6.16,6.49,246.86999999999998
5020,36.05.07.040.00,Воронеж,пашня,5.0,2023,Сах.свекла,Кукуруза силос,0.0,160.89,Мустанг,F1,Покупные,минимальная,40.0,124.3,140.8,6.49,6.49,6435.599999999999
