,field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,yield_plan_full
0,22.47.01.001.01,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,306.22,Скипетр,ЭС,Покупные,минимальная,3.8,243.16,226.93,4.46,5.78,1163.636
1,22.47.01.001.02,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,63.16,(нет сорта),ЭС,Покупные,минимальная,3.0,243.16,226.93,4.46,5.78,189.48
3,22.47.01.003.00,Алтай,пашня,4.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,452.25,Скипетр,ЭС,Покупные,минимальная,3.8,205.15,192.28,6.49,5.94,1718.55
4,22.47.01.004.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,269.64,Скипетр,ЭС,Покупные,минимальная,3.8,183.26,162.69,6.16,5.94,1024.6319999999998
7,22.47.01.006.02,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,63.33,Скипетр,РС-1,Покупные,минимальная,3.8,214.17,215.49,4.4,5.67,240.654
9,22.47.01.007.02,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,85.55,Скипетр,ЭС,Покупные,минимальная,3.8,202.62,188.54,4.84,5.56,325.09
10,22.47.01.008.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,32.32,Скипетр,ЭС,Покупные,минимальная,3.8,273.9,166.65,4.07,5.72,122.81599999999999
12,22.47.01.010.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,56.74,Скипетр,РС-1,Покупные,минимальная,3.8,211.97,166.76,4.51,5.72,215.612
13,22.47.01.011.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,80.95,Скипетр,ЭС,Покупные,минимальная,3.8,275.66,158.84,5.28,5.72,307.61
14,22.47.01.012.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,23.95,Скипетр,ЭС,Покупные,минимальная,3.8,274.12,180.62,4.51,5.72,91.00999999999999
15,22.47.01.013.01,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,421.31,Скипетр,ЭС,Покупные,минимальная,3.8,230.23,190.91,5.39,5.78,1600.9779999999998
19,22.47.01.016.00,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,11.04,(нет сорта),ЭС,Покупные,минимальная,4.0,173.25,290.95,3.41,6.93,44.16
22,22.47.01.019.00,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,51.67,(нет сорта),ЭС,Покупные,минимальная,1.7,165.33,234.3,3.74,6.27,87.839
23,22.47.01.020.00,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,6.82,(нет сорта),ЭС,Покупные,минимальная,2.5,146.3,268.4,3.08,6.16,17.05
25,22.47.01.022.00,Алтай,пашня,2.0,2023,Пар,Кукуруза силос,0.0,2.64,(нет сорта),ЭС,Покупные,минимальная,4.1,125.4,266.2,3.08,6.16,10.824
26,22.47.01.023.00,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,83.58,(нет сорта),ЭС,Покупные,минимальная,4.0,182.49,297.11,3.85,6.16,334.32
28,22.47.01.025.00,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,75.44,(нет сорта),ЭС,Покупные,минимальная,4.0,175.34,311.3,3.74,5.39,301.76
29,22.47.01.026.00,Алтай,пашня,4.0,2023,Пар,Кукуруза силос,0.0,32.55,(нет сорта),ЭС,Покупные,минимальная,4.0,172.15,311.08,3.74,5.61,130.2
34,22.47.01.030.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,152.41,Ликамеро,ЭС,Покупные,минимальная,3.3,260.04,124.19,3.63,6.71,502.953
35,22.47.01.031.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,86.21,Ликамеро,ЭС,Покупные,минимальная,3.3,236.61,165.66,4.29,6.71,284.49299999999994
36,22.47.01.032.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,196.25,Ликамеро,ЭС,Покупные,минимальная,3.3,241.78,158.4,3.41,6.71,647.625
38,22.47.01.035.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,116.8,Ликамеро,ЭС,Свои,минимальная,3.3,289.74,252.78,4.29,6.38,385.44
40,22.47.01.037.00,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,44.46,(нет сорта),ЭС,Покупные,минимальная,2.5,176.0,280.06,4.18,6.16,111.15
41,22.47.01.038.01,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,62.86,(нет сорта),ЭС,Покупные,минимальная,4.0,165.17,285.23,3.69,6.22,251.44
45,22.47.05.001.00,Алтай,пашня,3.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,199.71,Вега 87,РС-1,Покупные,минимальная,3.0,167.75,386.87,3.52,5.61,599.13
46,22.47.05.002.00,Алтай,пашня,3.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,75.5,Вега 87,РС-1,Покупные,минимальная,3.0,163.46,365.09,3.08,5.61,226.5
47,22.47.05.003.00,Алтай,пашня,3.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,192.85,Вега 87,РС-1,Покупные,минимальная,3.0,168.19,304.7,3.3,5.72,578.55
48,22.47.05.004.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,316.08,П 7043,F1,Покупные,классическая с плугом,8.5,161.59,323.73,3.63,5.5,2686.68
49,22.47.05.005.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,365.03,Галифакс,F1,Покупные,классическая с плугом,8.5,177.54,280.72,3.63,5.5,3102.7549999999997
50,22.47.05.006.01,Алтай,пашня,3.0,2023,Люцерна пр.лет корм,Кукуруза силос,5.0,196.29,Дакота,РС-1,Покупные,минимальная,3.8,154.99,287.98,3.85,5.83,745.9019999999999
52,22.47.05.007.01,Алтай,пашня,3.0,2023,Люцерна пр.лет корм,Кукуруза силос,5.0,216.53,БН 06-18,РС-1,Покупные,классическая с плугом,3.8,184.97,250.31,3.8,5.56,822.814
53,22.47.05.007.02,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,177.16,Смесь сортов,РС-1,Покупные,минимальная,3.0,184.97,250.31,3.8,5.56,531.48
54,22.47.10.001.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,272.29,Смесь сортов,РС-1,Покупные,минимальная,3.0,174.02,300.63,4.07,5.61,816.8700000000001
55,22.47.10.002.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,152.97,Галифакс,РС-1,Покупные,минимальная,8.5,176.55,277.31,4.51,5.94,1300.245
56,22.47.10.003.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,585.66,Скипетр,ЭС,Покупные,минимальная,3.8,159.94,292.93,3.74,6.05,2225.508
57,22.47.10.004.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,271.44,Скипетр,ЭС,Покупные,минимальная,3.8,172.37,275.33,3.74,6.27,1031.472
59,22.47.10.005.02,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,218.27,Смесь сортов,РС-1,Покупные,минимальная,3.0,195.25,325.38,3.52,5.61,654.8100000000001
60,22.47.10.005.03,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,50.75,(нет сорта),ЭС,Покупные,минимальная,1.5,195.25,325.38,3.52,5.61,76.125
61,22.47.10.006.01,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,104.1,Галифакс,F1,Покупные,минимальная,8.5,162.86,243.6,4.07,6.05,884.8499999999999
62,22.47.10.006.02,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,100.0,Галифакс,F1,Покупные,минимальная,8.5,162.86,243.6,4.07,6.05,850.0
63,22.47.10.007.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,272.12,Смесь сортов,РС-1,Покупные,минимальная,3.0,155.98,234.74,3.96,6.05,816.36
64,22.47.10.009.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,159.75,Галифакс,F1,Покупные,минимальная,8.5,166.32,257.62,3.52,5.94,1357.875
65,22.47.10.010.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,58.52,Скипетр,ЭС,Покупные,минимальная,3.8,192.28,364.98,2.75,5.94,222.376
66,22.47.10.011.01,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,140.0,Росс 140 СВ+,РС-1,Покупные,минимальная,8.5,162.64,267.08,4.18,6.44,1190.0
67,22.47.10.011.02,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,93.55,Галифакс,РС-1,Покупные,минимальная,8.5,162.64,267.08,4.18,6.44,795.175
68,22.47.10.012.01,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,77.55,Галифакс,РС-1,Покупные,минимальная,8.5,147.62,256.92,3.67,6.16,659.175
69,22.47.10.012.02,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,128.66,Галифакс,F1,Покупные,минимальная,8.5,147.62,256.92,3.67,6.16,1093.61
74,22.47.10.014.00,Алтай,пашня,2.0,2023,Кукуруза силос,Кукуруза силос,0.0,300.58,Галифакс,F1,Покупные,минимальная,8.5,172.26,291.61,3.3,6.27,2554.93
75,22.47.10.015.01,Алтай,пашня,2.0,2023,Кукуруза силос,Кукуруза силос,0.0,157.63,Галифакс,РС-1,Покупные,минимальная,8.5,149.16,245.74,3.96,6.05,1339.855
77,22.47.10.016.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,432.37,П 7043,F1,Покупные,классическая с плугом,8.5,191.29,317.35,3.96,5.61,3675.145
78,22.47.10.017.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,73.69,Ликамеро,F1,Покупные,минимальная,8.5,150.26,214.83,4.07,6.38,626.365
79,22.47.10.018.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,10.84,Галифакс,F1,Покупные,минимальная,8.5,112.2,213.4,4.07,5.83,92.14
80,22.47.10.019.00,Алтай,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,51.62,Галифакс,F1,Покупные,минимальная,8.5,163.13,246.18,4.4,6.27,438.77
81,22.47.11.001.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,274.36,Смесь сортов,РС-1,Покупные,минимальная,3.0,250.36,109.12,3.3,5.83,823.08
82,22.47.11.002.00,Алтай,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,214.84,Ликамеро,ЭС,Покупные,минимальная,3.3,236.61,122.65,3.74,5.83,708.972
83,22.47.11.003.00,Алтай,пашня,3.0,2023,Яр.ячмень,Кукуруза силос,0.0,270.54,Маргрет,РС-1,Покупные,минимальная,3.33,245.08,197.23,4.51,5.5,900.8982000000001
84,22.47.11.004.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,66.28,Маргрет,РС-1,Покупные,минимальная,3.33,170.06,288.09,3.74,6.16,220.7124
85,22.47.11.005.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,252.76,Маргрет,РС-1,Покупные,минимальная,3.33,189.97,267.52,4.29,5.72,841.6908
86,22.47.11.006.00,Алтай,пашня,4.0,2023,Чечевица,Кукуруза силос,0.0,258.72,Рэдкот,РС-1,Покупные,минимальная,1.9,216.04,221.1,4.4,5.83,491.56800000000004
88,22.47.11.008.00,Алтай,пашня,4.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,190.3,Смесь сортов,РС-1,Покупные,минимальная,3.0,246.07,143.44,3.08,5.61,570.9000000000001
89,22.47.11.009.00,Алтай,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,473.95,Ликамеро,ЭС,Покупные,минимальная,3.3,268.62,143.44,4.18,5.72,1564.0349999999999
90,22.47.11.010.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,78.12,Маргрет,РС-1,Покупные,минимальная,3.33,155.21,283.58,4.18,6.38,260.13960000000003
93,22.47.11.011.03,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,14.0,(нет сорта),ЭС,Покупные,минимальная,3.6,211.37,182.44,3.99,6.02,50.4
94,22.47.11.011.04,Алтай,пашня,3.0,2023,Пар,Кукуруза силос,0.0,3.46,(нет сорта),ЭС,Покупные,минимальная,3.83,211.37,182.44,3.99,6.02,13.2518
95,22.47.11.012.00,Алтай,пашня,2.0,2023,Пар,Кукуруза силос,0.0,4.74,(нет сорта),ЭС,Покупные,минимальная,2.51,190.3,291.5,3.74,6.16,11.8974
96,22.47.11.013.00,Алтай,пашня,3.0,2023,Яр.ячмень,Кукуруза силос,0.0,69.06,Маргрет,РС-1,Покупные,минимальная,3.33,228.47,176.77,4.51,5.94,229.96980000000002
97,22.47.11.014.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,312.27,Смесь сортов,РС-1,Покупные,минимальная,3.0,312.18,134.42,3.3,5.61,936.81
98,22.47.11.015.00,Алтай,пашня,4.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,205.95,Смесь сортов,РС-1,Покупные,минимальная,3.0,283.91,129.25,3.19,5.61,617.8499999999999
99,22.47.11.016.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,21.76,Маргрет,РС-3,Покупные,минимальная,3.33,264.33,111.87,3.96,5.83,72.4608
100,22.47.11.017.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,21.84,Маргрет,РС-3,Покупные,минимальная,3.33,253.33,174.9,4.07,5.72,72.7272
101,22.47.11.018.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,40.14,Маргрет,РС-3,Покупные,минимальная,3.33,314.38,163.02,3.74,5.72,133.6662
102,22.47.11.019.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,35.65,Маргрет,РС-3,Покупные,минимальная,3.33,260.15,185.9,3.52,5.61,118.7145
103,22.47.11.020.00,Алтай,пашня,4.0,2023,Соя,Кукуруза силос,0.0,38.63,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,316.03,126.5,3.19,5.5,54.082
104,22.47.11.021.00,Алтай,пашня,4.0,2023,Соя,Кукуруза силос,0.0,36.64,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,328.46,146.08,3.74,5.5,51.296
105,22.47.11.022.00,Алтай,пашня,4.0,2023,Соя,Кукуруза силос,0.0,41.32,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,295.68,144.76,3.85,5.72,57.848
106,22.47.11.023.00,Алтай,пашня,4.0,2023,Соя,Кукуруза силос,0.0,36.57,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,388.85,320.98,3.85,5.72,51.198
107,22.47.11.024.00,Алтай,пашня,4.0,2023,Соя,Кукуруза силос,0.0,84.15,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,267.08,160.27,3.63,5.72,117.81
108,22.47.11.025.01,Алтай,пашня,4.0,2023,Соя,Кукуруза силос,0.0,120.95,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,274.56,145.97,4.07,5.83,169.32999999999998
110,22.47.11.026.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,80.97,Ликамеро,ЭС,Покупные,минимальная,3.3,231.11,199.1,4.4,5.72,267.20099999999996
111,22.47.11.027.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,59.49,Ликамеро,ЭС,Покупные,минимальная,3.3,239.25,175.12,4.18,5.61,196.317
112,22.47.11.028.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,31.79,Скипетр,ЭС,Покупные,минимальная,3.8,239.8,159.61,4.4,5.72,120.80199999999999
113,22.47.11.029.01,Алтай,пашня,3.0,2023,Яр.ячмень,Кукуруза силос,0.0,114.55,Маргрет,РС-3,Покупные,минимальная,3.33,250.69,162.47,4.51,5.72,381.4515
114,22.47.11.029.02,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,191.6,Скипетр,ЭС,Покупные,минимальная,3.8,250.69,162.47,4.51,5.72,728.0799999999999
115,22.47.11.030.01,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,0.0,133.18,Смесь сортов,РС-1,Покупные,минимальная,3.0,379.17,196.57,3.08,5.72,399.54
116,22.47.11.030.02,Алтай,пашня,3.0,2023,Яр.ячмень,Кукуруза силос,0.0,113.92,Вакула,РС-3,Покупные,минимальная,3.33,379.17,196.57,3.08,5.72,379.35360000000003
117,22.47.11.031.00,Алтай,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,113.15,Маргрет,РС-3,Покупные,минимальная,3.33,298.43,125.18,3.3,5.72,376.78950000000003
118,22.47.11.032.00,Алтай,пашня,4.0,2023,Соя,Кукуруза силос,0.0,122.06,Аргента,РС-1,Покупные,минимальная,1.4,374.88,132.77,3.85,5.72,170.884
119,22.47.11.033.01,Алтай,пашня,3.0,2023,Соя,Кукуруза силос,0.0,271.39,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,334.4,162.25,3.52,5.72,379.94599999999997
120,22.47.11.033.02,Алтай,пашня,3.0,2023,Яр.ячмень,Кукуруза силос,0.0,171.88,Маргрет,РС-1,Покупные,минимальная,3.33,334.4,162.25,3.52,5.72,572.3604
121,46.11.01.001.00,Курск,пашня,3.0,2023,Соя,Кукуруза силос,0.0,123.77,ГЛ Мелани,РС-1,Свои,классическая с плугом,2.09,105.6,188.1,6.05,5.72,258.67929999999996
123,46.22.01.001.01,Курск,пашня,4.0,2023,Соя,Кукуруза силос,0.0,55.07,ОАК Пруденс,РС-1,Свои,классическая с плугом,2.09,103.57,93.92,5.69,5.4,115.0963
124,46.22.01.001.02,Курск,пашня,4.0,2023,Соя,Кукуруза силос,0.0,194.75,ОАК Пруденс,РС-1,Свои,классическая с плугом,2.09,103.57,93.92,5.69,5.4,407.0275
125,46.22.01.002.00,Курск,пашня,3.0,2023,Яр.ячмень,Кукуруза силос,0.0,162.45,Эксплоер,ЭС,Свои,минимальная,5.18,61.67,88.69,5.32,5.48,841.4909999999999
126,46.22.01.003.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,217.98,Ликамеро,РС-1,Свои,минимальная,5.0,130.01,99.0,5.84,5.58,1089.8999999999999
128,46.22.01.005.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,127.06,Ликамеро,РС-1,Свои,минимальная,5.0,116.77,111.44,5.66,5.72,635.3
129,46.22.01.006.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,68.8,Ликамеро,РС-1,Свои,минимальная,5.0,126.03,90.99,5.47,5.53,344.0
130,46.22.01.008.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,104.67,Ликамеро,РС-1,Свои,минимальная,5.0,90.86,99.55,5.61,5.47,523.35
131,46.22.01.009.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,41.48,Ликамеро,РС-1,Свои,минимальная,5.0,81.13,79.48,5.77,5.69,207.39999999999998
132,46.22.01.010.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,6.34,Ликамеро,РС-1,Свои,минимальная,5.0,58.3,89.1,5.5,5.72,31.7
133,46.22.01.011.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,230.46,Ликамеро,РС-1,Свои,минимальная,5.0,164.95,98.95,5.92,6.27,1152.3
134,46.22.01.012.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,39.8,Канюк,РС-1,Свои,минимальная,5.0,43.73,97.08,5.23,5.5,199.0
135,46.22.01.013.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,6.26,Канюк,РС-1,Свои,минимальная,5.0,40.7,94.6,6.71,5.39,31.299999999999997
139,46.22.01.015.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,42.44,Ликамеро,РС-1,Свои,минимальная,5.0,91.74,98.56,5.61,6.16,212.2
140,46.22.01.016.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,53.72,Ликамеро,РС-1,Свои,минимальная,5.0,75.72,103.03,5.48,5.74,268.6
141,46.22.01.017.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,167.0,Канюк,РС-1,Свои,минимальная,5.0,87.73,82.36,5.58,5.99,835.0
142,46.22.01.018.01,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,58.0,Канюк,РС-1,Свои,минимальная,5.0,65.48,76.59,6.01,6.04,290.0
143,46.22.01.018.02,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,64.0,Канюк,РС-1,Свои,минимальная,5.0,65.48,76.59,6.01,6.04,320.0
144,46.22.01.018.03,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,417.32,Канюк,РС-1,Свои,минимальная,5.0,65.48,76.59,6.01,6.04,2086.6
145,46.22.01.019.01,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,13.0,Канюк,РС-1,Свои,минимальная,5.0,122.89,98.61,5.7,6.27,65.0
146,46.22.01.019.02,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,92.22,Канюк,РС-1,Свои,минимальная,5.0,122.89,98.61,5.7,6.27,461.1
147,46.22.01.020.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,14.16,Канюк,РС-1,Свои,минимальная,5.0,276.65,67.65,5.66,5.45,70.8
148,46.22.01.021.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,11.63,Канюк,РС-1,Свои,минимальная,5.0,85.25,78.65,6.27,6.27,58.150000000000006
149,46.22.01.022.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,75.46,Канюк,РС-1,Свои,минимальная,5.0,238.01,81.54,5.68,7.11,377.29999999999995
150,46.22.01.023.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,18.74,Канюк,РС-1,Свои,минимальная,5.0,26.4,164.45,7.7,7.65,93.69999999999999
151,46.22.01.024.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,48.72,Канюк,РС-1,Свои,минимальная,5.0,81.18,94.82,5.76,6.31,243.6
152,46.22.01.025.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,143.93,Канюк,РС-1,Свои,минимальная,5.0,80.61,83.44,5.94,6.47,719.6500000000001
153,46.28.05.002.00,Курск,пашня,3.0,2023,Кукуруза зерно,Кукуруза силос,0.0,244.98,Феномен,F1,Покупные,классическая с плугом,6.88,82.5,150.7,6.6,7.04,1685.4624
154,46.28.05.003.00,Курск,пашня,3.0,2023,Соя,Кукуруза силос,0.0,146.21,Акцент 0852,РС-1,Свои,классическая с плугом,2.09,67.1,113.3,7.04,6.05,305.5789
155,46.28.05.004.00,Курск,пашня,3.0,2023,Горох,Кукуруза силос,0.0,250.1,Мадрас,ЭС,Свои,классическая с плугом,3.12,64.9,155.1,6.38,6.27,780.312
156,46.28.05.005.00,Курск,пашня,3.0,2023,Горох,Кукуруза силос,0.0,162.71,Мадрас,ЭС,Свои,классическая с плугом,3.12,135.3,167.2,6.6,6.93,507.65520000000004
157,46.28.05.006.00,Курск,пашня,3.0,2023,Овёс,Кукуруза силос,0.0,202.23,Авеню,ЭС,Покупные,классическая с плугом,4.0,101.2,111.1,6.49,6.05,808.92
158,46.28.05.007.00,Курск,пашня,3.0,2023,Соя,Кукуруза силос,0.0,66.47,Акцент,РС-1,Свои,классическая с плугом,2.09,94.6,141.9,6.71,6.38,138.92229999999998
159,46.28.05.008.00,Курск,пашня,3.0,2023,Соя,Кукуруза силос,0.0,98.93,Аргента,РС-1,Свои,классическая с плугом,2.09,122.1,202.4,6.38,6.6,206.7637
160,46.28.05.009.00,Курск,пашня,4.0,2023,Соя,Кукуруза силос,0.0,164.39,ГЛ Мелани,РС-1,Свои,классическая с плугом,2.09,89.1,151.8,7.04,6.05,343.57509999999996
161,46.28.05.010.00,Курск,пашня,3.0,2023,Соя,Кукуруза силос,0.0,152.72,Аргента,РС-1,Свои,классическая с плугом,2.09,95.7,139.7,6.71,6.71,319.1848
162,46.28.05.011.00,Курск,пашня,4.0,2023,Соя,Кукуруза силос,0.0,120.25,Акцент,РС-1,Свои,классическая с плугом,2.09,106.7,165.0,6.38,6.05,251.3225
163,46.28.05.012.00,Курск,пашня,3.0,2023,Соя,Кукуруза силос,0.0,10.68,Аргента,РС-1,Свои,классическая с плугом,2.09,130.9,229.9,6.93,6.16,22.321199999999997
164,46.28.05.013.00,Курск,пашня,3.0,2023,Соя,Кукуруза силос,0.0,13.8,Аргента,РС-1,Свои,классическая с плугом,2.09,97.9,181.5,6.27,5.94,28.842
165,46.28.05.014.00,Курск,пашня,4.0,2023,Соя,Кукуруза силос,0.0,13.81,Аргента,РС-1,Свои,классическая с плугом,2.09,124.3,184.8,6.6,6.71,28.8629
166,46.28.05.015.00,Курск,пашня,4.0,2023,Соя,Кукуруза силос,0.0,116.6,Аргента,РС-1,Свои,классическая с плугом,2.09,98.45,188.1,6.6,5.89,243.69399999999996
169,46.28.05.018.00,Курск,пашня,3.0,2023,Гречиха,Кукуруза силос,0.0,163.11,Диана,РС-1,Покупные,нулевая с прямым посевом,1.5,73.7,185.9,6.27,5.83,244.66500000000002
171,46.28.05.021.01,Курск,пашня,4.0,2023,Яр.ячмень,Кукуруза силос,0.0,87.84,Грэйс,ЭС,Свои,минимальная,5.18,84.7,126.5,6.27,6.05,455.0112
172,46.28.05.021.02,Курск,пашня,4.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,63.56,Стиль 18,СЭ,Покупные,минимальная,6.02,84.7,126.5,6.27,6.05,382.6312
173,46.28.05.022.00,Курск,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,36.58,Стиль 18,СЭ,Покупные,минимальная,6.02,80.3,147.4,7.26,6.93,220.21159999999998
174,46.28.05.023.01,Курск,пашня,4.0,2023,Кукуруза зерно,Кукуруза силос,0.0,73.0,Каскад 166,F1,Покупные,гибридизация,6.88,135.3,173.8,7.15,7.37,502.24
175,46.28.05.023.02,Курск,пашня,4.0,2023,Гречиха,Кукуруза силос,0.0,10.04,Диана,РС-1,Покупные,нулевая с прямым посевом,1.5,135.3,173.8,7.15,7.37,15.059999999999999
176,46.28.05.023.03,Курск,пашня,4.0,2023,Гречиха,Кукуруза силос,0.0,28.0,Диана,РС-1,Покупные,нулевая с прямым посевом,1.5,135.3,173.8,7.15,7.37,42.0
